feature,importance
metar_temperature_c_roll24_mean,0.0010551688
oh_cumsum,0.0010480419
dust_aerosol_09_20_mixing_ratio_cumsum,0.0010446429
sulphate_aerosol_mixing_ratio_roll24_std,0.0010440382
hydrophilic_organic_matter_aerosol_mixing_ratio_cummax,0.0010430431
hno3_roll12_mean,0.0010376836
c3h8_roll24_min,0.0010267257
sulphur_dioxide_mass_mixing_ratio_roll12_mean,0.0010261757
sulphate_aerosol_mixing_ratio_roll24_mean,0.0010217607
dust_aerosol_003_055_mixing_ratio_roll24_std,0.0010184171
total_parking_minutes_roll24_min,0.00101651
metar_visibility_mi_roll24_std,0.0010040607
dust_aerosol_09_20_mixing_ratio_roll24_min,0.0010034671
hydrophobic_black_carbon_aerosol_mixing_ratio_lag12,0.0010032702
metar_hour_precipitation_ewm3,0.0009982565
metar_temperature_c_cumsum,0.0009883856
metar_visibility_mi_cummean,0.0009873118
h2o2_cumsum,0.0009810278
nitrogen_monoxide_mass_mixing_ratio_roll12_std,0.0009799459
metar_hour_precipitation_roll12_max,0.000977666
dust_aerosol_055_09_mixing_ratio_roll12_std,0.0009771602
dust_aerosol_003_055_mixing_ratio_cumsum,0.00097623176
hydrophilic_organic_matter_aerosol_mixing_ratio_roll24_min,0.00097510446
sulphate_aerosol_mixing_ratio_roll3_max,0.0009743256
sea_salt_aerosol_5_20_mixing_ratio_roll24_std,0.0009726809
hydrophobic_organic_matter_aerosol_mixing_ratio_roll24_max,0.0009657828
formaldehyde_roll12_min,0.0009657643
ethane_cummax,0.00096248684
metar_visibility_mi_cumsum,0.0009619091
metar_hour_precipitation_roll12_mean,0.000958734
ozone_mass_mixing_ratio_roll6_mean,0.00095240044
ozone_mass_mixing_ratio_ewm12,0.00094944576
dust_aerosol_003_055_mixing_ratio_cumstd,0.0009481997
c3h8_roll12_min,0.0009467927
specific_humidity_cumsum,0.0009418135
temperature_roll24_min,0.0009399124
nitrogen_monoxide_mass_mixing_ratio_cumsum,0.00093789404
sea_salt_aerosol_05_5_mixing_ratio_roll6_min,0.00092284585
hydrophilic_black_carbon_aerosol_mixing_ratio_roll24_max,0.00092155574
temperature_roll2_min,0.0009191725
nitrogen_monoxide_mass_mixing_ratio_roll24_min,0.00091779523
organic_nitrates_roll24_mean,0.00091576425
metar_wind_speed_kn_cumstd,0.00091565953
temperature_cummin,0.00091346994
organic_nitrates_roll24_min,0.00090864435
total_parking_minutes_roll12_mean,0.0009062516
hydrophobic_organic_matter_aerosol_mixing_ratio_roll24_min,0.0008956001
nitrogen_dioxide_mass_mixing_ratio_ewm12,0.0008933509
specific_humidity_roll24_max,0.000883156
metar_wind_speed_kn_roll24_std,0.00087889296
ethane_roll12_max,0.00087237393
metar_relative_humidity_ewm12,0.00086659106
h2o2_roll24_std,0.0008652256
hno3_cumsum,0.0008647421
isoprene_roll12_mean,0.00086320785
metar_dew_point_c_roll24_std,0.0008631783
sea_salt_aerosol_003_05_mixing_ratio_cumsum,0.000862868
total_parking_minutes_roll2_mean,0.00086188497
nitrogen_monoxide_mass_mixing_ratio_roll12_min,0.0008590571
formaldehyde_roll24_mean,0.00085829763
hydrophilic_black_carbon_aerosol_mixing_ratio_ewm12,0.00085481204
sea_salt_aerosol_003_05_mixing_ratio_roll12_kurt,0.0008435821
sulphate_aerosol_mixing_ratio_cumsum,0.0008432056
sulphate_aerosol_mixing_ratio_cumstd,0.0008367931
ozone_mass_mixing_ratio_roll24_std,0.00083366316
oh_roll24_min,0.00083167444
c3h8_roll12_mean,0.00083079946
dust_aerosol_003_055_mixing_ratio_roll24_max,0.00082805316
dust_aerosol_055_09_mixing_ratio_cummean,0.00082370534
metar_hour_precipitation_roll24_min,0.0008223572
ethane_roll2_mean,0.0008163797
total_parking_minutes_roll6_max,0.0008118379
dust_aerosol_09_20_mixing_ratio_ewm12,0.0008039283
hydrophobic_black_carbon_aerosol_mixing_ratio_roll24_min,0.00080372096
ethane_roll24_mean,0.000795902
metar_wind_speed_kn_roll12_max,0.0007957359
ethane_roll12_mean,0.0007952674
hydrophilic_black_carbon_aerosol_mixing_ratio_roll24_mean,0.00079403416
metar_visibility_mi_roll24_mean,0.000791962
ozone_mass_mixing_ratio_cumsum,0.0007896
dust_aerosol_055_09_mixing_ratio_cumsum,0.0007883442
metar_temperature_c_roll12_min,0.0007883337
metar_relative_humidity_ewm3,0.00078414485
organic_nitrates_roll12_max,0.00078411924
h2o2_roll12_max,0.00078271586
hydrophobic_black_carbon_aerosol_mixing_ratio_roll6_mean,0.00078140176
nitrogen_monoxide_mass_mixing_ratio_cumstd,0.0007797478
temperature_roll24_max,0.00077568286
dust_aerosol_003_055_mixing_ratio,0.00077564595
dust_aerosol_003_055_mixing_ratio_roll12_mean,0.0007638703
nitrogen_dioxide_mass_mixing_ratio_roll2_std,0.0007590654
c3h8_roll12_max,0.00075658556
sulphur_dioxide_mass_mixing_ratio_ewm12,0.0007548899
hydrophilic_black_carbon_aerosol_mixing_ratio_roll12_max,0.00075353205
nitrogen_monoxide_mass_mixing_ratio_roll3_std,0.0007529936
metar_visibility_mi_lag1,0.00074993825
h2o2_lag6,0.00074736035
dust_aerosol_09_20_mixing_ratio_roll12_mean,0.00074084
metar_wind_speed_kn_roll6_min,0.00073911785
h2o2_cumstd,0.00073847506
temperature_roll24_mean,0.0007346916
dust_aerosol_09_20_mixing_ratio_roll6_max,0.0007270775
dust_aerosol_003_055_mixing_ratio_roll12_min,0.0007267175
sea_salt_aerosol_003_05_mixing_ratio_roll24_std,0.0007253578
metar_temperature_c_cummean,0.0007247603
hydrophobic_black_carbon_aerosol_mixing_ratio_roll24_mean,0.00072082627
hno3_roll12_min,0.00071888603
temperature_roll12_min,0.0007175982
metar_wind_speed_kn_ewm12,0.00071607897
sulphate_aerosol_mixing_ratio_roll2_mean,0.0007157192
dust_aerosol_055_09_mixing_ratio_roll12_min,0.0007074427
nitrogen_monoxide_mass_mixing_ratio_roll24_std,0.0007059817
dust_aerosol_09_20_mixing_ratio_roll12_std,0.0007058672
metar_relative_humidity_roll6_max,0.000703141
metar_temperature_c_diff3,0.0007010312
metar_relative_humidity_roll24_mean,0.00069679815
metar_relative_humidity_roll12_max,0.0006958196
specific_humidity_roll3_min,0.000687611
metar_relative_humidity_roll12_min,0.0006873925
organic_nitrates_roll12_min,0.00068474066
hydrophobic_black_carbon_aerosol_mixing_ratio_ewm6,0.0006843489
hydrophobic_black_carbon_aerosol_mixing_ratio_roll6_min,0.0006790962
ozone_mass_mixing_ratio_roll12_std,0.00067713414
total_parking_minutes_roll6_mean,0.0006765765
total_parking_minutes_diff1,0.00067412085
total_parking_minutes_roll12_std,0.00067362416
temp_parking_interaction,0.0006733754
hydrophobic_black_carbon_aerosol_mixing_ratio_cumsum,0.00066914194
sulphur_dioxide_mass_mixing_ratio_roll12_std,0.0006686242
h2o2_ewm12,0.00066814985
nitrogen_dioxide_mass_mixing_ratio_roll12_mean,0.0006623117
hydrophobic_black_carbon_aerosol_mixing_ratio_roll12_mean,0.0006602988
sea_salt_aerosol_5_20_mixing_ratio_roll12_min,0.0006560238
hydrophilic_organic_matter_aerosol_mixing_ratio_roll12_max,0.00065246824
dust_aerosol_055_09_mixing_ratio_roll12_max,0.000651868
metar_relative_humidity_roll12_std,0.00064815325
nitrogen_monoxide_mass_mixing_ratio_roll12_mean,0.0006474073
isoprene_roll6_min,0.0006457359
dust_aerosol_055_09_mixing_ratio_roll24_max,0.0006448641
carbon_monoxide_mass_mixing_ratio_roll12_max,0.00064447656
metar_hour_precipitation_roll12_min,0.0006356332
metar_wind_speed_kn_roll6_max,0.0006341996
nitrogen_dioxide_mass_mixing_ratio_roll12_min,0.00062911183
hydrophilic_organic_matter_aerosol_mixing_ratio_roll12_min,0.00062664406
temperature_diff1,0.0006249096
hno3_roll24_min,0.00062220293
hydrophilic_organic_matter_aerosol_mixing_ratio_cumsum,0.00062018714
h2o2_ewm3,0.0006194769
temperature total_parking_minutes,0.0006182177
total_parking_minutes_roll12_min,0.0006175185
c3h8_roll6_min,0.0006156626
hno3_roll24_std,0.0006099552
specific_humidity_roll12_max,0.0006098335
sulphur_dioxide_mass_mixing_ratio_roll3_mean,0.00060916
ethane_roll6_mean,0.0006091125
total_parking_minutes_roll6_min,0.00060876546
dust_aerosol_003_055_mixing_ratio_roll12_std,0.0006083241
oh_roll12_std,0.0006080226
sea_salt_aerosol_003_05_mixing_ratio_roll6_max,0.0006068366
sulphur_dioxide_mass_mixing_ratio_roll12_min,0.00060255325
sea_salt_aerosol_05_5_mixing_ratio_roll12_min,0.00060214475
metar_dew_point_c_roll12_std,0.0006003155
nitrogen_dioxide_mass_mixing_ratio_cumsum,0.00059985445
metar_dew_point_c_roll6_min,0.00059421704
sea_salt_aerosol_05_5_mixing_ratio,0.0005935978
specific_humidity_lag12,0.0005932204
total_parking_minutes_roll3_std,0.00059128
sea_salt_aerosol_5_20_mixing_ratio_roll12_std,0.0005861433
c3h8_cumsum,0.0005860298
temperature_roll2_std,0.00057175965
temperature_roll12_std,0.0005714926
hydrophobic_organic_matter_aerosol_mixing_ratio_roll12_min,0.00056969625
nitrogen_dioxide_mass_mixing_ratio_roll24_mean,0.000569016
hydrophilic_organic_matter_aerosol_mixing_ratio_roll2_max,0.00056686497
hydrophilic_black_carbon_aerosol_mixing_ratio_cumsum,0.0005663093
hydrophobic_black_carbon_aerosol_mixing_ratio_roll12_max,0.0005659775
oh_roll12_max,0.0005638415
sea_salt_aerosol_5_20_mixing_ratio_roll3_mean,0.00056202494
specific_humidity_roll12_std,0.0005574212
metar_visibility_mi_pct_change6,0.00055516575
metar_relative_humidity_ewm6,0.0005543406
hno3_roll12_std,0.0005543344
metar_wind_speed_kn_roll12_mean,0.0005502003
sulphur_dioxide_mass_mixing_ratio_ewm6,0.00054858555
isoprene_roll2_max,0.00054532214
metar_hour_precipitation_roll6_skew,0.00053700426
metar_visibility_mi_roll12_mean,0.00053667097
hydrophobic_organic_matter_aerosol_mixing_ratio_roll6_std,0.0005357694
specific_humidity_roll6_max,0.0005336486
sulphur_dioxide_mass_mixing_ratio_roll2_mean,0.000533631
formaldehyde_roll3_max,0.0005311232
c3h8_roll12_std,0.00053098064
dust_aerosol_09_20_mixing_ratio_roll12_max,0.0005307254
hydrophilic_organic_matter_aerosol_mixing_ratio_roll24_max,0.0005275772
