feature,importance
carbon_monoxide_mass_mixing_ratio_roll24_mean,0.0012727071
nitrogen_monoxide_mass_mixing_ratio_cummean,0.0012682091
sea_salt_aerosol_05_5_mixing_ratio_roll2_mean,0.0012642515
hno3_roll24_max,0.0012641456
sulphate_aerosol_mixing_ratio_roll24_max,0.0012637393
organic_nitrates_cummin,0.0012633862
h2o2_cumsum,0.0012624948
hno3_cummin,0.0012619334
nitrogen_dioxide_mass_mixing_ratio_roll24_max,0.0012616265
hydrophilic_organic_matter_aerosol_mixing_ratio_roll24_max,0.0012558644
temperature_cumstd,0.0012530361
h2o2_roll12_mean,0.0012472798
oh_roll24_mean,0.0012463651
h2o2_cummin,0.001244325
sea_salt_aerosol_003_05_mixing_ratio_roll24_max,0.0012422112
hno3_cummax,0.0012393539
hydrophobic_black_carbon_aerosol_mixing_ratio_roll24_max,0.001226554
c3h8_roll24_std,0.00122474
metar_visibility_mi_roll24_max,0.0012245077
oh_cummin,0.0012234641
metar_wind_speed_kn_roll24_max,0.00122154
ozone_mass_mixing_ratio_roll24_min,0.001219798
dust_aerosol_055_09_mixing_ratio_roll12_max,0.0012118298
specific_humidity_cummax,0.0011985764
dust_aerosol_003_055_mixing_ratio_roll24_max,0.001193556
formaldehyde_cummin,0.0011909839
nitrogen_dioxide_mass_mixing_ratio_cumstd,0.0011751383
hydrophobic_black_carbon_aerosol_mixing_ratio_cummax,0.001172706
oh_cumsum,0.0011585432
metar_visibility_mi_roll12_min,0.0011500975
sea_salt_aerosol_05_5_mixing_ratio_roll24_std,0.001149872
nitrogen_monoxide_mass_mixing_ratio_roll12_min,0.0011426641
hydrophobic_organic_matter_aerosol_mixing_ratio_cumstd,0.0011340148
metar_dew_point_c_roll24_mean,0.0011311846
metar_wind_speed_kn_roll12_min,0.0011298627
hydrophilic_organic_matter_aerosol_mixing_ratio_lag6,0.0011268534
sea_salt_aerosol_003_05_mixing_ratio_roll24_mean,0.0011084654
total_parking_minutes_roll6_max,0.0011054778
isoprene_roll12_max,0.0011027356
